"Story","Title","Result","Date","Stability","Duration (s)"
"Perfilar el aprendiz con su respectivo rendimiento","El coach revisa el rendimiento del aprendiz","SUCCESS","2021-12-03T13:48:17.2536457-05:00[America/Bogota]","0.0","24.35"
"Perfilar el aprendiz con su respectivo rendimiento","El coach intenta visualizar el rendimiento del aprendiz con correo desactualizado","SUCCESS","2021-12-03T13:48:42.4994253-05:00[America/Bogota]","0.0","22.49"
"Perfilar el aprendiz con su respectivo rendimiento","El aprendiz revisa su rendimiento en el training activo","SUCCESS","2021-12-03T13:49:05.879832-05:00[America/Bogota]","0.0","21.35"
