"Story","Title","Result","Date","Stability","Duration (s)"
"HU01 - autenticacion","uno - Existencia de elemento de login en la loginPage","SUCCESS","2021-12-03T13:43:52.7079842-05:00[America/Bogota]","0.0","9.99"
"HU01 - autenticacion","dos - Login exitoso coach","SUCCESS","2021-12-03T13:44:04.9720887-05:00[America/Bogota]","0.0","19.46"
"HU01 - autenticacion","tres - login exitoso aprendiz","SUCCESS","2021-12-03T13:44:25.3721558-05:00[America/Bogota]","0.0","17.39"
"HU01 - autenticacion","cuatro - Acceso a rutas sin tener sesion activa","SUCCESS","2021-12-03T13:44:43.6556632-05:00[America/Bogota]","0.0","5.74"
"Listar los training activos","Visualizar los training activos con el rol de aprendiz autenticado","SUCCESS","2021-12-03T13:45:52.0785651-05:00[America/Bogota]","0.0","16.46"
"HU03 - Listar aprendices de un training activo","dos - Listar estudiantes rol apprentice","SUCCESS","2021-12-03T13:47:58.1754405-05:00[America/Bogota]","0.0","18.2"
"Perfilar el aprendiz con su respectivo rendimiento","El coach revisa el rendimiento del aprendiz","SUCCESS","2021-12-03T13:48:17.2536457-05:00[America/Bogota]","0.0","24.35"
"Perfilar el aprendiz con su respectivo rendimiento","El coach intenta visualizar el rendimiento del aprendiz con correo desactualizado","SUCCESS","2021-12-03T13:48:42.4994253-05:00[America/Bogota]","0.0","22.49"
"Perfilar el aprendiz con su respectivo rendimiento","El aprendiz revisa su rendimiento en el training activo","SUCCESS","2021-12-03T13:49:05.879832-05:00[America/Bogota]","0.0","21.35"
